SUBJ,CRS #,SEC #,CALL #,SEM HRS,TITLE,DAYS,START TIME,END TIME,BLDG & ROOM #,FACULTY,REMARKS,SECTION TYPE,MODALITY,SESSION,SESS BEGIN,SESS END
BISC,227,1,30257,3,HUMAN ANATOMY AND PHYSIOLOGY II,MWF,1100AM,1215PM,AHCL 162,SHEEHAN D,,,Face to face,,3/13/2024,5/24/2024
BISC,228,1,30259,1,HUM ANATOMY & PHYSIOLOGY LAB II,M,0100PM,0400PM,CTLH 226,SHEEHAN D,SENIORS ONLY,,Face to face,,3/13/2024,5/24/2024
BISC,230,1,32340,3,INTRO TO MARINE BIOL & ECOL,TR,1200PM,0115PM,CTLH 122,HILL J,,,Face to face,,3/13/2024,5/24/2024
BISC,231,1,32341,1,MARINE BIOLOGY FIELD EXPERIENCE,TBA,,,,HILL J,,,Face to face,,3/13/2024,5/24/2024
BISC,240,1,30260,1,STUDENT RESEARCH,TBA,,,,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,261,1,30267,3,MICROBIOLOGY,MWF,0930AM,1045AM,DAVH 113,WELLS M,,,Face to face,,3/13/2024,5/24/2024
BISC,262,1,30268,1,MICROBIOLOGY LABORATORY,MW,0100PM,0300PM,CTLH 114,KEMEGE J,,,Face to face,,3/13/2024,5/24/2024
BISC,262,2,30269,1,MICROBIOLOGY LABORATORY,TR,1000AM,1200PM,CTLH 114,KEMEGE J,MDTC/MLSC MAJOR,,Face to face,,3/13/2024,5/24/2024
BISC,262,3,30270,1,MICROBIOLOGY LABORATORY,TR,1000AM,1200PM,CTLH 114,KEMEGE J,,,Face to face,,3/13/2024,5/24/2024
BISC,262,4,30271,1,MICROBIOLOGY LABORATORY,TR,0200PM,0400PM,CTLH 114,KEMEGE J,,,Face to face,,3/13/2024,5/24/2024
BISC,291,1,32342,2,ELECTROPHORESIS METHODS,R,0800AM,1150AM,CTLH 133,SHULTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,311,1,32343,3,GENETICS,TR,1200PM,0150PM,CTLH 347,SHULTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,312,1,32345,1,GENETICS LABORATORY,T,0200PM,0550PM,CTLH 133,SHULTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,312,2,32347,1,GENETICS LABORATORY,R,0200PM,0550PM,CTLH 133,SHULTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,315,1,30277,3,CELL BIOLOGY,MWF,1100AM,1215PM,DAVH 213,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,320,1,30278,3,ANIMAL PHYSIOLOGY,MWF,0800AM,0915AM,CTLH 347,MANESS T,,,Face to face,,3/13/2024,5/24/2024
BISC,344,1,30279,4,CLINICAL CHEMISTRY & TOXICOLOGY,TR,1200PM,0150PM,CTLH 227,KEMEGE J,MLSC STUDENTS,,Face to face,,3/13/2024,5/24/2024
BISC,344,2,32622,4,CLINICAL CHEMISTRY & TOXICOLOGY,TR,1200PM,0150PM,CTLH 227,KEMEGE J,,,Face to face,,3/13/2024,5/24/2024
BISC,360A,1,30282,1,BIOLOGICAL PROBLEMS,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,360B,1,30283,2,BIOLOGICAL PROBLEMS,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,360C,1,30284,3,BIOLOGICAL PROBLEMS,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,361A,1,30285,1,LABORATORY ASSISTING,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,361B,1,30287,2,LABORATORY ASSISTING,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,380,1,30289,1,BIOLOGY COLLOQUIUM,M,0330PM,0445PM,UNVH 134,NEWMAN J,,,Face to face,,3/13/2024,5/24/2024
BISC,411,1,32348,3,DEVELOPMENTAL BIOLOGY,MWF,1230PM,0145PM,CTLH 227,VANDENBRINK J,,,Face to face,,3/13/2024,5/24/2024
BISC,433,1,32349,3,GLOBAL CHANGE ECOLOGY,MWF,0930AM,1045AM,DAVH 106,EARL J,,,Face to face,,3/13/2024,5/24/2024
BISC,445,1,30292,2,IMMUNOHEMATOLOGY,MW,1230PM,0145PM,CTLH 122,JOHNSON V,,,Face to face,,3/13/2024,5/24/2024
BISC,466,1,30296,3,MEDICAL ANTHROPOLOGY,MWF,1100AM,1215PM,DAVH 107,MILLS D,XLIST BISC566,,Face to face,,3/13/2024,5/24/2024
BISC,470,1,30298,3,BIOETHICS,TR,1000AM,1150AM,CTLH 153,NEWMAN J,,,Face to face,,3/13/2024,5/24/2024
BISC,478C,1,30300,3,PRACTICA/INTERNSHIP/COOP,TBA,,,,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,480,1,30301,1,UNDERGRADUATE SEMINAR,T,0200PM,0315PM,CTLH 227,VOZIYANOV Y,,,Face to face,,3/13/2024,5/24/2024
BISC,480,2,30302,1,UNDERGRADUATE SEMINAR,W,0200PM,0315PM,CTLH 227,VOZIYANOV Y,,,Face to face,,3/13/2024,5/24/2024
BISC,480,3,30303,1,UNDERGRADUATE SEMINAR,R,0200PM,0315PM,CTLH 227,VOZIYANOV Y,,,Face to face,,3/13/2024,5/24/2024
BISC,491,1,30305,3,PCR - METHODS AND APPLICATIONS,MW,1230PM,0400PM,CTLH 133,SHULTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,492,1,30306,3,PROTEIN ANALYSIS,TR,1000AM,1150AM,CTLH 208,NESTOROVA G,,,Face to face,,3/13/2024,5/24/2024
BISC,511,1,32350,3,GRADUATE DEVELOPMENTAL BIOLOGY,MWF,1230PM,0145PM,CTLH 227,VANDENBRINK J,XLS BISC411-001,,Face to face,,3/13/2024,5/24/2024
BISC,530A,1,30310,1,BIOL SCIENCES SPECIAL PROBLEMS,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,530B,1,30311,2,BIOL SCIENCES SPECIAL PROBLEMS,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,530C,1,30312,3,BIOL SCIENCES SPECIAL PROBLEMS,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,533,1,32351,3,GRADUATE GLOBAL CHANGE ECOLOGY,MWF,0930AM,1045AM,DAVH 106,EARL J,XLS BISC433-001,,Face to face,,3/13/2024,5/24/2024
BISC,535,1,30314,1,APPLIED GENETICS,T,0830AM,0945AM,CTLH 133,SHULTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,540,1,30315,3,BIOLOGICAL SCIENCES INTERNSHIP,TBA,,,,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,549,1,30316,1,BIOLOGY THESIS PROPROSAL PREP,TBA,,,,NEWMAN J,,,Face to face,,3/13/2024,5/24/2024
BISC,551A,1,30317,1,RESEARCH & THESIS IN BIOLOGY,TBA,,,,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,551B,1,30318,2,RESEARCH & THESIS IN BIOLOGY,TBA,,,,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,551C,1,30319,3,RESEARCH & THESIS IN BIOLOGY,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,551F,1,30320,6,RESEARCH & THESIS IN BIOLOGY,TBA,,,CTLH 215,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,566,1,30321,3,GRADUATE MEDICAL ANTHROPOLOGY,MWF,1100AM,1215PM,DAVH 107,MILLS D,XLIST BISC466,,Face to face,,3/13/2024,5/24/2024
BISC,570,1,30322,3,GRADUATE BIOETHICS,TR,1000AM,1150AM,CTLH 153,NEWMAN J,XLS BISC470,,Face to face,,3/13/2024,5/24/2024
BISC,580,1,30323,0,GRADUATE BIOLOGY COLLOQUIUM,M,0330PM,0445PM,UNVH 134,NEWMAN J,XLS BISC380,,Face to face,,3/13/2024,5/24/2024
BISC,585,1,30324,0,COMP EXAM IN BIOLOGICAL SCIENCES,TBA,,,,CAMPBELL W,,,Face to face,,3/13/2024,5/24/2024
BISC,591,1,30325,3,GRAD PCR-METHODS & APPLICATIONS,MW,1230PM,0400PM,CTLH 133,SHULTZ J,XLS BISC491-001,,Face to face,,3/13/2024,5/24/2024
BISC,592,1,30326,3,GRADUATE PROTEIN ANALYSIS,TR,1000AM,1150AM,CTLH 208,NESTOROVA G,XLS BISC492-001,,Face to face,,3/13/2024,5/24/2024
BLAW,255,51,30327,3,LEGAL ENVIRONMENT OF BUSINESS,MW,0600PM,0750PM,COBB 101,MOEGLE F,,,Face to face,,3/13/2024,5/24/2024
BLAW,356,1,30328,3,COMMERCIAL LAW,MW,0200PM,0350PM,COBB 109,MOEGLE F,,,Face to face,,3/13/2024,5/24/2024
BSCM,305,1,30329,3,COMMUNICATIONS,TR,0800AM,0950AM,COBB 109,PULLIS R,DEG CAND/ACCT,,Face to face,,3/13/2024,5/24/2024
BUSN,110,1,30330,3,INTRO TO BUS & ENTREPRENEURSHIP,MWF,0930AM,1045AM,COBB 101,SIEGMUND B,,,Face to face,,3/13/2024,5/24/2024
BUSN,110,2,32423,3,INTRO TO BUS & ENTREPRENEURSHIP,MWF,1230PM,0145PM,COBB 101,SIEGMUND B,COLL OF BUSN,,Face to face,,3/13/2024,5/24/2024
BUSN,115,1,30331,3,CONSUMER FINANCE AND MONEY MGMT,TR,1000AM,1150AM,COBB 126,PULLIS R,,,Face to face,,3/13/2024,5/24/2024
BUSN,320,1,30333,1,CAREER PREPARATION SEMINAR,MW,1100AM,1215PM,COBB 219,O'NEAL S,,,Face to face,,3/13/2024,5/24/2024
BUSN,401A,1,30334,1,INDEPENDENT STUDY,TBA,,,,STAFF T,COB STUD ONLY,,Face to face,,3/13/2024,5/24/2024
BUSN,401C,1,30337,3,INDEPENDENT STUDY,TBA,,,,STAFF T,,,Face to face,,3/13/2024,5/24/2024
BUSN,410,1,30339,3,INTERNSHIP IN BUSINESS I,TBA,,,,O'NEAL S,,,Face to face,,3/13/2024,5/24/2024
BUSN,410,99,30340,3,INTERNSHIP IN BUSINESS I,TBA,,,,O'NEAL S,,,Face to face,,3/13/2024,5/24/2024
BUSN,495,1,30341,3,BUSINESS ADMINISTRATION CAPSTONE,TR,1000AM,1150AM,COBB 226,RING J,,,Face to face,,3/13/2024,5/24/2024
BUSN,495,2,30342,3,BUSINESS ADMINISTRATION CAPSTONE,MW,0200PM,0350PM,COBB 226,LE S,,,Face to face,,3/13/2024,5/24/2024
BUSN,495,51,30343,3,BUSINESS ADMINISTRATION CAPSTONE,TR,0400PM,0550PM,COBB 226,WALTERS B,,,Face to face,,3/13/2024,5/24/2024
BUSN,501,51,30347,3,GLOBAL PERSPECTIVES IN MGMT,W,0400PM,0745PM,COBB 105,MOULARD J,,,Face to face,,3/13/2024,5/24/2024
BUSN,550A,1,32577,1,ADV REGIONAL ECONOMIC ANALYSIS,TBA,,,,SCOTT C,,,Face to face,,3/13/2024,5/24/2024
BUSN,550C,1,30349,3,SPECIAL PROBLEMS,TBA,,,,MCCUMBER W,,,Not specified,,3/13/2024,5/24/2024
BUSN,550C,99,30350,3,INTERNSHIP,TBA,,,,MCCUMBER W,,,Not specified,,3/13/2024,5/24/2024
BUSN,589C,1,30351,3,SPECIAL TOPICS,TBA,,,,STAFF T,,,Face to face,,3/13/2024,5/24/2024
BUSN,651C,1,30352,3,RESEARCH AND DISSERTATION,TBA,,,,MCCUMBER W,,,Face to face,,3/13/2024,5/24/2024
BUSN,651F,1,30353,6,RESEARCH AND DISSERTATION,TBA,,,,MCCUMBER W,,,Face to face,,3/13/2024,5/24/2024
CAM,650A,1,30354,1,DIR STUDY IN COMP ANAL AND MODEL,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,650B,1,30355,2,DIR STUDY IN COMP ANAL AND MODEL,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,650C,1,30356,3,DIR STUDY IN COMP ANAL AND MODEL,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,651A,1,30357,1,PRE-CANDIDACY DOCTORAL RESEARCH,,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,651C,1,30358,3,PRE-CANDIDACY DOCTORAL RESEARCH,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,651F,1,30359,6,PRE-CANDIDACY DOCTORAL RESEARCH,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,685,1,30360,0,WRITTEN QUALIFYING EXAM - MATH,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,686,1,30361,0,WRITTEN QUALIFYING EXAM - CSC,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,687,1,30362,0,ORAL COMPREHENSIVE EXAM,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,751C,1,30363,3,POST-CANDIDACY DISSERTATION RES,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CAM,751F,1,30364,6,POST-CANDIDACY DISSERTATION RES,TBA,,,,DAI W,,,Face to face,,3/13/2024,5/24/2024
CHEM,100,1,30366,2,GENERAL CHEMISTRY,TR,1000AM,1115AM,IESB 318,RUGG K,,,Face to face,,3/13/2024,5/24/2024
CHEM,100,2,30367,2,GENERAL CHEMISTRY,MW,0200PM,0315PM,CTLH 328,DEESE W,,,Face to face,,3/13/2024,5/24/2024
CHEM,101,1,30369,2,GENERAL CHEMISTRY,MW,0930AM,1045AM,IESB 318,RUGG K,,,Face to face,,3/13/2024,5/24/2024
CHEM,101,2,30370,2,GENERAL CHEMISTRY,MW,1100AM,1215PM,CTLH 328,EDDY D,,,Face to face,,3/13/2024,5/24/2024
CHEM,102,1,30372,2,GENERAL CHEMISTRY,MW,0930AM,1045AM,CTLH 328,DEESE W,,,Face to face,,3/13/2024,5/24/2024
CHEM,102,2,30373,2,GENERAL CHEMISTRY,MW,1100AM,1215PM,IESB 318,RUDDICK K,,,Face to face,,3/13/2024,5/24/2024
CHEM,102,3,30374,2,GENERAL CHEMISTRY,TR,0800AM,0915AM,CTLH 328,STEPHENSON M,,,Face to face,,3/13/2024,5/24/2024
CHEM,102,4,30375,2,GENERAL CHEMISTRY,TR,1000AM,1115AM,CTLH 328,EDDY D,,,Face to face,,3/13/2024,5/24/2024
CHEM,102,5,30376,2,GENERAL CHEMISTRY,TR,0200PM,0315PM,CTLH 328,DEESE W,,,Face to face,,3/13/2024,5/24/2024
CHEM,103,1,30377,1,GEN CHEMISTRY LAB,T,0115PM,0150PM,IESB 205,STEPHENSON M,,,Face to face,,3/13/2024,5/24/2024
CHEM,103,2,30378,1,GEN CHEMISTRY LAB,T,0115PM,0150PM,IESB 205,STEPHENSON M,,,Face to face,,3/13/2024,5/24/2024
CHEM,103,3,30379,1,GEN CHEMISTRY LAB,T,0115PM,0150PM,IESB 205,STEPHENSON M,,,Face to face,,3/13/2024,5/24/2024
CHEM,103,4,30380,1,GEN CHEMISTRY LAB,W,0115PM,0150PM,IESB 205,STEPHENSON M,,,Face to face,,3/13/2024,5/24/2024
CHEM,103,5,30381,1,GEN CHEMISTRY LAB,W,0115PM,0150PM,IESB 205,STEPHENSON M,,,Face to face,,3/13/2024,5/24/2024
CHEM,103,6,30382,1,GEN CHEMISTRY LAB,W,0115PM,0150PM,IESB 205,STEPHENSON M,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,1,30383,1,GEN CHEMISTRY LAB,M,0115PM,0150PM,IESB 318,RUGG K,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,2,30384,1,GEN CHEMISTRY LAB,M,0115PM,0150PM,IESB 318,RUGG K,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,3,30385,1,GEN CHEMISTRY LAB,M,0115PM,0150PM,IESB 318,RUGG K,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,4,30387,1,GEN CHEMISTRY LAB,T,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,5,30388,1,GEN CHEMISTRY LAB,T,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,6,30389,1,GEN CHEMISTRY LAB,T,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,7,30390,1,GEN CHEMISTRY LAB,W,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,8,30391,1,GEN CHEMISTRY LAB,W,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,9,30392,1,GEN CHEMISTRY LAB,W,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,10,30393,1,GEN CHEMISTRY LAB,R,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,11,30394,1,GEN CHEMISTRY LAB,R,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,104,12,30395,1,GEN CHEMISTRY LAB,R,0115PM,0150PM,IESB 318,CHAPPIDI S,,,Face to face,,3/13/2024,5/24/2024
CHEM,120,1,30396,3,INTRO TO INORGANIC CHEMISTRY,MWF,0800AM,0915AM,CTLH 322,EDDY D,,,Face to face,,3/13/2024,5/24/2024
CHEM,250,1,30402,2,ORGANIC CHEMISTRY,MW,0800AM,0915AM,IESB 318,MCMULLAN P,,,Face to face,,3/13/2024,5/24/2024
CHEM,250,2,30403,2,ORGANIC CHEMISTRY,TR,0800AM,0915AM,CTLH 322,COX M,,,Face to face,,3/13/2024,5/24/2024
CHEM,252,1,30404,2,ORGANIC CHEMISTRY,MW,1100AM,1215PM,CTLH 322,COX M,,,Face to face,,3/13/2024,5/24/2024
CHEM,252,2,30405,2,ORGANIC CHEMISTRY,TR,0800AM,0915AM,IESB 318,MCMULLAN P,,,Face to face,,3/13/2024,5/24/2024
CHEM,254,1,30406,1,ORGANIC CHEM LAB,T,0115PM,0150PM,CTLH 322,COX M,,,Face to face,,3/13/2024,5/24/2024
CHEM,254,2,30407,1,ORGANIC CHEM LAB,T,0115PM,0150PM,CTLH 322,COX M,,,Face to face,,3/13/2024,5/24/2024
CHEM,254,3,30408,1,ORGANIC CHEM LAB,W,0115PM,0150PM,CTLH 322,MCMULLAN P,,,Face to face,,3/13/2024,5/24/2024
CHEM,254,4,30409,1,ORGANIC CHEM LAB,W,0115PM,0150PM,CTLH 322,MCMULLAN P,,,Face to face,,3/13/2024,5/24/2024
CHEM,254,5,30410,1,ORGANIC CHEM LAB,R,0115PM,0150PM,CTLH 322,MCMULLAN P,,,Face to face,,3/13/2024,5/24/2024
CHEM,254,6,30411,1,ORGANIC CHEM LAB,R,0115PM,0150PM,CTLH 322,MCMULLAN P,,,Face to face,,3/13/2024,5/24/2024
CHEM,351,1,30412,3,BIOCHEMISTRY,MWF,1230PM,0145PM,CTLH 328,THURLKILL R,,,Face to face,,3/13/2024,5/24/2024
CHEM,353,1,30413,1,BIOCHEMISTRY LAB,T,0200PM,0615PM,CTLH 334,THURLKILL R,,,Face to face,,3/13/2024,5/24/2024
CHEM,390,1,30414,1,CHEMICAL LITERATURE,T,1200PM,0115PM,CTLH 328,WICK C,CHEM MAJ ONLY,,Face to face,,3/13/2024,5/24/2024
CHEM,424,1,30415,3,ADVANCED PHYSICAL CHEMISTRY,MWF,1100AM,1215PM,IESB 302,SAWYER H,XLS PHYS424,,Hybrid,,3/13/2024,5/24/2024
CHEM,450C,1,30416,3,NANOFABRICATION BY SELF-ASSEMBLY,TR,1000AM,1150AM,IFMM 101,LVOV Y,XLIST MSNT506,,Face to face,,3/13/2024,5/24/2024
CHEM,450C,2,30418,3,BIOCHEM IN MOLECULAR APPROACH,MWF,1100AM,1215PM,CTLH 122,POH S,XLS CHEM555,,Face to face,,3/13/2024,5/24/2024
CHEM,466,1,30419,4,INSTRUMENTAL ANALYSIS,MWF,0930AM,1045AM,CTLH 322,EKLUND S,,,Face to face,,3/13/2024,5/24/2024
CHEM,466,2,30420,4,INSTRUMENTAL ANALYSIS,MWF,0930AM,1045AM,CTLH 322,EKLUND S,,,Face to face,,3/13/2024,5/24/2024
CHEM,466,3,30421,4,INSTRUMENTAL ANALYSIS,MWF,0930AM,1045AM,CTLH 322,EKLUND S,,,Face to face,,3/13/2024,5/24/2024
CHEM,481,1,32434,3,ADVANCED INORGANIC CHEMISTRY,TR,1000AM,1150AM,CTLH 322,FATILA E,,,Face to face,,3/13/2024,5/24/2024
CHEM,490,1,30422,1,CHEMISTRY SEMINAR,TBA,,,CTLH 339,THURLKILL R,CHEM MAJ ONLY,,Face to face,,3/13/2024,5/24/2024
CHEM,498A,1,30423,1,UNDERGRADUATE RESEARCH,F,0200PM,0315PM,CTLH 322,FATILA E,CHEM MAJ ONLY,,Face to face,,3/13/2024,5/24/2024
CHEM,523,1,30425,3,NANOFABRICATION BY SELF-ASSEMBLY,TR,1000AM,1150AM,IFMM 101,LVOV Y,XLS CHEM450C001,,Face to face,,3/13/2024,5/24/2024
CHEM,524,1,30426,3,QUANTUM CHEMISTRY,MWF,1100AM,1215PM,,SAWYER H,XLS CHEM424,,Hybrid,,3/13/2024,5/24/2024
CHEM,555,1,30427,3,BIOCHEM IN MOLECULAR APPROACH,MWF,1100AM,1215PM,CTLH 122,POH S,XLS CHEM450C002,,Face to face,,3/13/2024,5/24/2024
CIS,125,1,30437,3,IT SOLUTIONS FOR BUSINESS,MWF,0800AM,0915AM,COBB 107,STAFF T,,,Face to face,,3/13/2024,5/24/2024
CIS,125,2,30438,3,IT SOLUTIONS FOR BUSINESS,TR,0800AM,0950AM,COBB 107,SUTHERLAND E,,,Face to face,,3/13/2024,5/24/2024
CIS,125,3,30439,3,IT SOLUTIONS FOR BUSINESS,TR,1000AM,1150AM,COBB 107,SUTHERLAND E,,,Face to face,,3/13/2024,5/24/2024
CIS,125,4,30440,3,IT SOLUTIONS FOR BUSINESS,MWF,0930AM,1045AM,COBB 107,STAFF T,,,Face to face,,3/13/2024,5/24/2024
CIS,125,51,30441,3,IT SOLUTIONS FOR BUSINESS,MW,0400PM,0550PM,COBB 107,CAVE J,,,Face to face,,3/13/2024,5/24/2024
CIS,310,1,30443,3,PRINCIPLES OF INFO SYSTEMS,TR,0800AM,0950AM,COBB 101,VAN SLYKE C,,,Face to face,,3/13/2024,5/24/2024
CIS,315,1,30445,3,PROB SOLV & INTRO TO PROGRAMMING,TR,1200PM,0150PM,COBB 106,RIDER D,,,Face to face,,3/13/2024,5/24/2024
CIS,325,1,30446,3,ENTERPRISE SYS AND INTEGRATION,TR,1000AM,1150AM,COBB 106,SWART J,,,Face to face,,3/13/2024,5/24/2024
CIS,335,1,30447,3,APPLICATION DEVELOPMENT-INTERNET,TR,0800AM,0950AM,COBB 106,SWART J,,,Face to face,,3/13/2024,5/24/2024
CIS,348,1,30448,3,PRINCIPLES OF BUSINESS ANALYTICS,TR,1000AM,1150AM,COBB 121,ELDER K,,,Face to face,,3/13/2024,5/24/2024
CIS,348,2,32580,3,PRINCIPLES OF BUSINESS ANALYTICS,MWF,1100AM,1215PM,COBB 111,STAFF T,,,Face to face,,3/13/2024,5/24/2024
CIS,401,1,30449,3,INTERNSHIP IN CIS I,TBA,,,,O'NEAL S,,,Face to face,,3/13/2024,5/24/2024
CIS,401,99,30450,3,INTERNSHIP IN CIS I,TBA,,,,O'NEAL S,,,Face to face,,3/13/2024,5/24/2024
CIS,444,1,30454,3,NETWORK DESIGN & IMPLEMENTATION,TR,0200PM,0350PM,COBB 106,RIDER D,,,Face to face,,3/13/2024,5/24/2024
CIS,450,1,30455,3,"SYSTEMS ANALYSIS, DESIGN, & IMPL",TR,0200PM,0350PM,COBB 226,SUTHERLAND E,,,Face to face,,3/13/2024,5/24/2024
CIS,650C,1,30464,3,DIR STUDY IN COMPUTER INF SYS,TBA,,,,VAN SLYKE C,,,Face to face,,3/13/2024,5/24/2024
CIS,654,1,32581,3,SEM IN MEASUREMENT FOR IS RES,T,0100PM,0500PM,COBB 369,STAFFORD T,,,Face to face,,3/13/2024,5/24/2024
CLAB,461C,98,30467,3,CLINICAL HEMATOLOGY LABORATORY,TBA,,,,JOHNSON V,,,Face to face,,3/13/2024,5/24/2024
CLAB,465C,98,30468,3,CLINICAL BACTERIOLOGY LAB,TBA,,,,JOHNSON V,,,Face to face,,3/13/2024,5/24/2024
CLAB,468C,98,30473,3,CLINICAL CHEMISTRY & TOXICOLOGY,TBA,,,,JOHNSON V,,,Face to face,,3/13/2024,5/24/2024
CLAB,475A,98,30475,1,CLINICAL URINALYSIS LAB,TBA,,,,JOHNSON V,,,Face to face,,3/13/2024,5/24/2024
CLAB,477A,98,30477,1,PARASIT/MYCOL/MYCOBACT LAB,TBA,,,,JOHNSON V,,,Face to face,,3/13/2024,5/24/2024
CLAB,483A,98,30483,1,CLINICAL PARASITOLOGY,TBA,,,,JOHNSON V,,,Face to face,,3/13/2024,5/24/2024
CMEN,202,1,30487,3,CHEM ENGR CALCULATIONS,MWF,0800AM,0915AM,DAVH 213,CICCIARELLI B,,,Face to face,,3/13/2024,5/24/2024
CMEN,213,1,30488,3,UNIT OPS DESIGN - FLUIDS,MWF,0930AM,1045AM,DAVH 213,LYNAM J,,,Face to face,,3/13/2024,5/24/2024
CMEN,302,1,30489,3,PRCS SAFETY IN THE CHEMICAL IND,TR,1000AM,1150AM,DAVH 107,NEWBERRY R,,,Face to face,,3/13/2024,5/24/2024
CMEN,304,1,30490,3,TRANSPORT PHENOMENA,MWF,0930AM,1045AM,BMEB 157,XIAO Y,,,Face to face,,3/13/2024,5/24/2024
CMEN,313,1,30491,3,UNIV OPS DESIGN - HEAT TRANSFER,MWF,0930AM,1045AM,DAVH 109,CICCIARELLI B,XLS MEEN353,,Face to face,,3/13/2024,5/24/2024
CMEN,413,1,30492,3,UNIT OPS DESIGN - SEPARATIONS,TR,1200PM,0150PM,BMEB 157,PETERS A,,,Face to face,,3/13/2024,5/24/2024
CMEN,420,1,30493,3,NANOSYSTEMS MODELING,TR,1200PM,0150PM,BMEB 108,MAINARDI D,XLS CMEN557,,Face to face,,3/13/2024,5/24/2024
CMEN,425,1,30494,3,NUMERICAL METH FOR CHEMICAL ENGR,TR,0800AM,0950AM,AHCL 162,CICCIARELLI B,,,Face to face,,3/13/2024,5/24/2024
CMEN,434,1,30495,2,CHEMICAL PLANT DESIGN III,TR,0200PM,0315PM,BMEB 157,PALMER J,,,Face to face,,3/13/2024,5/24/2024
CMEN,450A,1,30496,1,SPECIAL PROBLEMS,TBA,,,,LYNAM J,,,Face to face,,3/13/2024,5/24/2024
CMEN,450B,1,30497,2,SPECIAL PROBLEMS,TBA,,,,LYNAM J,,,Face to face,,3/13/2024,5/24/2024
CMEN,450C,1,30498,3,SPECIAL PROBLEMS,TBA,,,,LYNAM J,,,Face to face,,3/13/2024,5/24/2024
CMEN,550C,1,30499,3,SPECIAL PROBLEMS,TBA,,,,PETERS A,,,Face to face,,3/13/2024,5/24/2024
CMEN,551C,1,30500,3,MSE THESIS IN CHEMICAL ENGR,,,,,WICK C,,,Face to face,,3/13/2024,5/24/2024
CMEN,551F,1,30501,6,MSE THESIS IN CHEMICAL ENGR,,,,,WICK C,,,Face to face,,3/13/2024,5/24/2024
